concerned,P\k@n-'s3nd\[CVC][CVVCC]\[k@n][s3:nd],,,,,cC,CR CRCC,CR CRCC,01,+/d/,CR CRC,V,,,,2,
moppet,P\'mQ-pIt\[CV][CVC]\[mO][pIt]\S\'mQ-p@t\[CV][CVC]\[mO][p@t],,,10,Xc,,CV CVC,CV CVC,10,0,0,N,,,,1,
mother,P\'mV-D@R\[CV][CVC]\[mV][D@r*],,,,,Xc,CV CR,CV CR,10,0,0,N,,,,95,
muffin,P\'mV-fIn\[CV][CVC]\[mV][fIn],,,,,Xc,CV CVC,CV CVC,10,0,0,N,,,,6,
muscle,"P\'mV-sP\[CV][CS]\[mV][sl,]",,,,,Xc,CV CR,CV CS,10,0,0,N,,,,1,
never,P\'nE-v@R\[CV][CVC]\[nE][v@r*],,,,,Xc,CV CR,CV CR,10,0,0,??,,,,94,
nickel,"P\'nI-kP\[CV][CS]\[nI][kl,]",,,,,Xc,CV CR,CV CS,10,0,0,N,,,,2,
noggin,P\'nQ-gIn\[CV][CVC]\[nO][gIn],,,,,Xc,CV CVC,CV CVC,10,0,0,N,,,,3,
nothing,P\'nV-TIN\[CV][CVC]\[nV][TIN],,,,,Xc,CV CVM,CV CVC,10,0,0,??,,,,120,
nugget,P\'nV-gIt\[CV][CVC]\[nV][gIt],,,,,Xc,CV CVC,CV CVC,10,0,0,N,,,,8,
offer,P\'Q-f@R\[V][CVC]\[O][f@r*],,,,,Xc,V CR,V CR,10,0,0,V,,,,1,
office,P\'Q-fIs\[V][CVC]\[O][fIs],,,,,Xc,V CVC,V CVC,10,0,0,N,,,,4,
often,"P\'Q-fH\[V][CS]\[O][fn,]\S\'Qf-t@n\[VC][CVC]\[Of][t@n]\S\'Qf-tH\[VC][CS]\[Of][tn,]",,,,,Xc,V CR,V CVC,10,0,0,,Adverb,,,5,
olive,P\'Q-lIv\[V][CVC]\[O][lIv],,,,,Xc,V CVC,V CVC,10,0,0,N,,,,1,
onion,P\'V-nj@n\[V][CCVC]\[V][nj@n],,,,,Xc,V CCVC,V CCVC,10,0,0,N,,,,10,
oral,"P\'$-r@l\[VV][CVC]\[O:][r@l]\P\'$-rP\[VV][CS]\[O:][rl,]\S\'Q-r@l\[V][CVC]\[O][r@l]\S\'Q-rP\[V][CS]\[O][rl,]",,,,,Xc,VV CR,VV CVC,10,0,0,A,,,,1,
orange,P\'Q-rIn_\[V][CVCC]\[O][rIndZ]\P\'Q-rInZ\[V][CVCC]\[O][rInZ]\S\'Q-r@n_\[V][CVCC]\[O][r@ndZ]\S\'Q-r@nZ\[V][CVCC]\[O][r@nZ],,,,,Xc,VV CVMC,VV CVCC,10,0,0,N,,,,154,
other,P\'V-D@R\[V][CVC]\[V][D@r*],,,,,Xc,V CR,V CR,10,0,0,A,,,,424,
others,P\'V-D@z\[V][CVC]\[V][D@z],,,,Xc,,V CRC,V CRC,10,+/z/,V CR,,Pronoun,,,5,
oven,"P\'V-vH\[V][CS]\[V][vn,]",,,,,Xc,V CR,V CS,10,0,0,N,,,,41,
package,P\'p{-kI_\[CV][CVC]\[p&][kIdZ],,,,,Xc,CV CVC,CV CVC,10,0,0,N,,,,5,
packet,P\'p{-kIt\[CV][CVC]\[p&][kIt],,,,,Xc,CV CVC,CV CVC,10,0,0,N,,,,1,
packing,P\'p{-kIN\[CV][CVC]\[p&][kIN],,,,Xc,,CV CVM,CV CVC,10,+/IG/,CVC,V,,,,7,
palace,P\'p{-lIs\[CV][CVC]\[p&][lIs]\S\'p{-l@s\[CV][CVC]\[p&][l@s],,,,,Xc,CV CVC,CV CVC,10,0,0,N,,,,6,
parrot,P\'p{-r@t\[CV][CVC]\[p&][r@t],,,,,Xc,CV CVC,CV CVC,10,0,0,N,,,,6,
pepper,P\'pE-p@R\[CV][CVC]\[pE][p@r*],,,,,Xc,CV CR,CV CR,10,0,0,N,,,,12,
petal,"P\'pE-tP\[CV][CS]\[pE][tl,]",,,,,Xc,CV CR,CV CS,10,0,0,N,,,,8,
phonics,P\'f5-nIks\[CVV][CVCC]\[f@U][nIks]\S\'fQ-nIks\[CV][CVCC]\[fO][nIks],,,,,Xc,CVV CVCC,CVV CVCC,10,0,0,N,,,,4,
pickle,"P\'pI-kP\[CV][CS]\[pI][kl,]",,,,,Xc,CV CR,CV CS,10,0,0,N,,,,6,
pigeon,P\'pI-_In\[CV][CVC]\[pI][dZIn]\S\'pI-_@n\[CV][CVC]\[pI][dZ@n],,,,,Xc,CV CVC,CV CVC,10,0,0,N,,,,6,
pitcher,P\'pI-J@R\[CV][CVC]\[pI][tS@r*],,,,,Xc,CV CR,CV CR,10,0,0,N,,,,5,
planet,P\'pl{-nIt\[CCV][CVC]\[pl&][nIt],,,,,Xc,CCV CVCC,CCV CVC,10,0,0,N,,,,4,
platter,P\'pl{-t@R\[CCV][CVC]\[pl&][t@r*],,,,,Xc,CCV CR,CCV CR,10,0,0,N,,,,1,
pleasant,"P\'plE-zHt\[CCV][CSC]\[plE][zn,t]",,,,,Xc,CV CRC,CCV CSC,10,0,0,A,,,,1,
pocket,P\'pQ-kIt\[CV][CVC]\[pO][kIt],,,,,Xc,CV CVC,CV CVC,10,0,0,N,,,,29,
polish,P\'pQ-lIS\[CV][CVC]\[pO][lIS],,,,,Xc,CV CVC,CV CVC,10,0,0,N,,,,10,
porridge,P\'pQ-rI_\[CV][CVC]\[pO][rIdZ],,,,,Xc,CVV CVC,CVV CVC,10,0,0,N,,,,12,
potter,P\'pQ-t@R\[CV][CVC]\[pO][t@r*],,,,,Xc,CV CR,CV CR,10,0,0,,Name,,,2,
precious,P\'prE-S@s\[CCV][CVC]\[prE][S@s],,,,,Xc,CCV CVC,CCV CVC,10,0,0,"N, A",,,,21,
presence,"P\'prE-zHs\[CCV][CSC]\[prE][zn,s]",,,,,Xc,CCV CRC,CCV CSC,10,0,0,N,,,,1,
present,P\prI-'zEnt\[CCV][CVCC]\[prI][zEnt]\S\pr@-'zEnt\[CCV][CVCC]\[pr@][zEnt],,,,,Xc,CCV CVCC,CCV CVCC,10,0,0,,Adverb,,,9,
present,"P\'prE-zHt\[CCV][CSC]\[prE][zn,t]\S\'prE-z@nt\[CCV][CVCC]\[prE][z@nt]",,,,,Xc,CCV CRC,CCV CSC,10,0,0,N,,,,4,
presents,"P\'prE-zHts\[CCV][CSCC]\[prE][zn,ts]\S\'prE-z@nts\[CCV][CVCCC]\[prE][z@nts]",,,,Xc,,CCV CRCC,CCV CSCC,10,+/s/,CCV CRC,N,,,,11,
pressing,P\'prE-sIN\[CCV][CVC]\[prE][sIN],,,,Xc,,CCV CVM,CCV CVC,10,+/IG/,CCVC,V,,,,1,
problem,P\'prQ-bl@m\[CCV][CCVC]\[prO][bl@m]\S\'prQ-blEm\[CCV][CCVC]\[prO][blEm]\S\'prQ-blIm\[CCV][CCVC]\[prO][blIm],,,,,Xc,CCV CCVC,CCV CCVC,10,0,0,N,,,,37,
product,P\'prQ-dVkt\[CCV][CVCC]\[prO][dVkt]\S\'prQ-d@kt\[CCV][CVCC]\[prO][d@kt],,,,,Xc,CCV CVCC,CCV CVCC,10,0,0,N,,,,7,
project,P\'prQ-_Ekt\[CCV][CVCC]\[prO][dZEkt]\S\'prQ-_Ikt\[CCV][CVCC]\[prO][dZIkt],,,,,Xc,CCVV CVCC,CCV CVCC,10,0,0,N,,,,1,
promise,P\'prQ-mIs\[CCV][CVC]\[prO][mIs],,,,,Xc,CCV CVC,CCV CVC,10,0,0,N,,,,10,
proper,P\'prQ-p@R\[CCV][CVC]\[prO][p@r*],,,,,Xc,CCV CR,CCV CR,10,0,0,A,,,,11,
publish,P\'pV-blIS\[CV][CCVC]\[pV][blIS],,,,,Xc,CV CCVC,CV CCVC,10,0,0,V,,,,1,
pucker,P\'pV-k@R\[CV][CVC]\[pV][k@r*],,,,,Xc,CV CR,CV CR,10,0,0,V,,,,1,
pudding,P\'pU-dIN\[CV][CVC]\[pU][dIN],,,,,Xc,CV CVM,CV CVC,10,0,0,N,,,,26,
puddle,"P\'pV-dP\[CV][CS]\[pV][dl,]",,,,,Xc,CV CR,CV CS,10,0,0,N,,,,6,
puppet,P\'pV-pIt\[CV][CVC]\[pV][pIt],,,,,Xc,CV CVC,CV CVC,10,0,0,N,,,,9,
pushing,P\'pU-SIN\[CV][CVC]\[pU][SIN],,,,Xc,,CV CVM,CV CVC,10,+/IG/,CVC,V,,,,30,
puzzle,"P\'pV-zP\[CV][CS]\[pV][zl,]",,,,,Xc,CV CR,CV CS,10,0,0,N,,,,57,
quarrel,"P\'kwQ-r@l\[CCV][CVC]\[kwO][r@l]\P\'kwQ-rP\[CCV][CS]\[kwO][rl,]",,,,,Xc,CCV CR,CCV CVC,10,0,0,V,,,,1,
quitter,P\'kwI-t@R\[CCV][CVC]\[kwI][t@r*],,,,Xc,,CCV CR,CCV CR,10,0,0,N,,,,1,
rabbit,P\'r{-bIt\[CV][CVC]\[r&][bIt],,,,,Xc,CV CVC,CV CVC,10,0,0,N,,,,106,
radish,P\'r{-dIS\[CV][CVC]\[r&][dIS],,,,,Xc,CV CVC,CV CVC,10,0,0,N,,,,3,
rather,P\'r#-D@R\[CVV][CVC]\[rA:][D@r*],,,,,Xc,CV CR,CVV CR,10,0,0,,Adverb,,,13,
rattle,"P\'r{-tP\[CV][CS]\[r&][tl,]",,,,,Xc,CV CR,CV CS,10,0,0,V,,,,67,
record,P\'rE-k$d\[CV][CVVC]\[rE][kO:d],r'Ek.Rd|r.Ik'crd,,,,Xc,CV CRC,CV CVVC,10,0,0,N,,,,3,
record,P\rI-'k$d\[CV][CVVC]\[rI][kO:d]\S\r@-'k$d\[CV][CVVC]\[r@][kO:d],r'Ek.Rd|r.Ik'crd,,,,Xc,CV CVVCC,CV CVVC,10,0,0,V,,,,4,
rhythm,"P\'rI-D@m\[CV][CVC]\[rI][D@m]\P\'rI-DF\[CV][CS]\[rI][Dm,]\S\'rI-T@m\[CV][CVC]\[rI][T@m]\S\'rI-TF\[CV][CS]\[rI][Tm,]",,,,,Xc,CV CVC,CV CVC,10,0,0,N,,,,3,
ribbon,P\'rI-b@n\[CV][CVC]\[rI][b@n],,,,,Xc,CV CVC,CV CVC,10,0,0,N,,,,14,
river,P\'rI-v@R\[CV][CVC]\[rI][v@r*],,,,,Xc,CV CR,CV CR,10,0,0,N,,,,7,
robin,P\'rQ-bIn\[CV][CVC]\[rO][bIn],,,,,Xc,CV CVC,CV CVC,10,0,0,,Name,,,13,
rocker,P\'rQ-k@R\[CV][CVC]\[rO][k@r*],,,,,Xc,CV CR,CV CR,10,0,0,N,,,,1,
rotten,"P\'rQ-tH\[CV][CS]\[rO][tn,]",,,,,Xc,CV CR,CV CS,10,0,0,A,,,,1,
rubber,P\'rV-b@R\[CV][CVC]\[rV][b@r*],,,,,Xc,CV CR,CV CR,10,0,0,N,,,,9,
rubbing,P\'rV-bIN\[CV][CVC]\[rV][bIN],,,,Xc,,CV CVM,CV CVC,10,+/IG/,CVC,V,,,,11,
ruffle,"P\'rV-fP\[CV][CS]\[rV][fl,]",,,,,Xc,CV CR,CV CS,10,0,0,V,,,,1,
runner,P\'rV-n@R\[CV][CVC]\[rV][n@r*],,,,,Xc,CV CR,CV CR,10,0,0,N,,,,3,
running,P\'rV-nIN\[CV][CVC]\[rV][nIN],,,,Xc,,CV CVM,CV CVC,10,+/IG/,CVM,V,,,,73,
salad,P\'s{-l@d\[CV][CVC]\[s&][l@d],,,,,Xc,CV CVC,CV CVC,10,0,0,N,,,,10,
salmon,P\'s{-m@n\[CV][CVC]\[s&][m@n],,,,,Xc,CV CVC,CV CVC,10,0,0,N,,,,1,
sausage,P\'sQ-sI_\[CV][CVC]\[sO][sIdZ],,,,,Xc,CV CVC,CV CVC,10,0,0,N,,,,4,
schedule,"P\'SE-djul\[CV][CCVVC]\[SE][dju:l]\S\'SE-_ul\[CV][CVVC]\[SE][dZu:l]\S\'skE-djul\[CCV][CCVVC]\[skE][dju:l]\S\'skE-_ul\[CCV][CVVC]\[skE][dZu:l]\S\'SE-_P\[CV][CS]\[SE][dZl,]\S\'skE-_P\[CCV][CS]\[skE][dZl,]",,,,,Xc,CCV CCVVC,CCVC VC,10,0,0,N,,,,2,
scissors,P\'sI-z@z\[CV][CVC]\[sI][z@z],,,,,Xc,CV CRC,CV CRC ,10,+/z/,CV CR,N,,,,3,
scribble,"P\'skrI-bP\[CCCV][CS]\[skrI][bl,]",,,,,Xc,CCCV CR,CCCV CS,10,0,0,V,,,,1,
second,"P\'sE-k@nd\[CV][CVCC]\[sE][k@nd]\P\'sE-kHd\[CV][CSC]\[sE][kn,d]",,,,,Xc,CV CVMC,CV CVCC,10,0,0,N,,,,112,
second,P\sI-'kQnd\[CV][CVCC]\[sI][kOnd]\S\s@-'kQnd\[CV][CVCC]\[s@][kOnd],,,,,Xc,CV CVMC,CV CVCC,10,0,0,A,,,,7,
seconds,"P\'sE-k@ndz\[CV][CVCCC]\[sE][k@ndz]\P\'sE-kHdz\[CV][CSCC]\[sE][kn,dz]",,,,Xc,,CV CVMCC,CV CVCCC,10,+/s/,CV CVMC,N,,,,11,
seller,P\'sE-l@R\[CV][CVC]\[sE][l@r*],,,,,Xc,CV CR,CV CR,10,0,0,N,,,,1,
session,"P\'sE-SH\[CV][CS]\[sE][Sn,]",,,,,Xc,CV CR,CV CS,10,0,0,N,,,,2,
setting,P\'sE-tIN\[CV][CVC]\[sE][tIN],,,,,Xc,CV CVM,CV CVC,10,+/IG/,CVC,N. V,,,,2,
settle,"P\'sE-tP\[CV][CS]\[sE][tl,]",,,,,Xc,CV CR,CV CS,10,0,0,V,,,,5,
settled,"P\'sE-tPd\[CV][CSC]\[sE][tl,d]",,,,Xc,,CV CRC,CV CSC,10,+/d/,CV CR,V,,,,1,
seven,"P\'sE-vH\[CV][CS]\[sE][vn,]",,,,,Xc,CV CR,CV CS,10,0,0,,Number,,,101,
seventh,"P\'sE-vHT\[CV][CSC]\[sE][vn,T]",,,,,Xc,CV CRC,CV CSC,10,0,0,,Number,,,4,
sheriff,P\'SE-rIf\[CV][CVC]\[SE][rIf],,,,,Xc,CV CVC,CV CVC,10,0,0,N,,,,5,
shiver,P\'SI-v@R\[CV][CVC]\[SI][v@r*],,,,,Xc,CV CR,CV CR,10,0,0,V,,,,3,
shopper,P\'SQ-p@R\[CV][CVC]\[SO][p@r*],,,,,Xc,CV CR,CV CR,10,0,0,N,,,,1,
shopping,P\'SQ-pIN\[CV][CVC]\[SO][pIN],,,,Xc,,CV CVM,CV CVC,10,+/IG/,CVC,V,,,,19,
shouldn't,"P\'SU-dHt\[CV][CSC]\[SU][dn,t]",,,,,Xc,CV CRC,CV CSC,10,0,0,,Contraction,,,39,
shovel,"P\'SV-vP\[CV][CS]\[SV][vl,]",,,,,Xc,CV CR,CV CSC,10,0,0,N,,,,3,
shutter,P\'SV-t@R\[CV][CVC]\[SV][t@r*],,,,,Xc,CV CR,CV CR,10,0,0,N,,,,1,
sibling,P\'sIb-lIN\[CVC][CVC]\[sIb][lIN],,,,,Xc,CV CCVM,CVC CVC,10,0,0,N,,,,1,
simmer,P\'sI-m@R\[CV][CVC]\[sI][m@r*],,,,,Xc,CV CR,CV CR,10,0,0,V,,,,2,
sitting,P\'sI-tIN\[CV][CVC]\[sI][tIN],,,,Xc,,CV CVM,CV CVC,10,+/IG/,CVC,V,,,,105,
slipper,P\'slI-p@R\[CCV][CVC]\[slI][p@r*],,,,,Xc,CCV CR,CCV CR,10,0,0,N,,,,17,
slobber,P\'slQ-b@R\[CCV][CVC]\[slO][b@r*],,,,,Xc,CCV CR,CCV CR,10,0,0,V,,,,4,
smacking,P\'sm{-kIN\[CCV][CVC]\[sm&][kIN],,,,Xc,,CCVV CVM,CCV CVC,10,+/IG/,CCVC,V,,,,2,
smashing,P\'sm{-SIN\[CCV][CVC]\[sm&][SIN],,,,Xc,,CCVV CVM,CCV CVC,10,+/IG/,CCVC,V,,,,4,
snuggle,"P\'snV-gP\[CCV][CS]\[snV][gl,]",,,,,Xc,CCV CR,CCV CS,10,0,0,V,,,,4,
soccer,P\'sQ-k@R\[CV][CVC]\[sO][k@r*],,,,,Xc,CV CR,CV CR,10,0,0,N,,,,7,
solid,P\'sQ-lId\[CV][CVC]\[sO][lId],,,,,Xc,CV CVC,CV CVC,10,0,0,A,,,,2,
sonic,P\'sQ-nIk\[CV][CVC]\[sO][nIk],,,,,Xc,CV CVC,CV CVC,10,0,0,,Pronoun,,,1,
special,"P\'spE-SP\[CCV][CS]\[spE][Sl,]",,,,,Xc,CCV CR,CCV CS,10,0,0,A,,,,36,
spelling,P\'spE-lIN\[CCV][CVC]\[spE][lIN],,,,Xc,,CCV CVM,CCV CVC,10,+/IG/,CCVM,V,,,,2,
spinach,P\'spI-nI_\[CCV][CVC]\[spI][nIdZ]\S\'spI-nIJ\[CCV][CVC]\[spI][nItS],,,,,Xc,CCV CVC,CCV CVC,10,0,0,N,,,,13,
spirit,P\'spI-rIt\[CCV][CVC]\[spI][rIt],,,,,Xc,CCV CVC,CCV CVC,10,0,0,N,,,,5,
staring,P\'st8-rIN\[CCVV][CVC]\[stE@][rIN],,,,Xc,,CCVV CVM,CCVV CVC,10,+/IG/,CCVVC,V,,,,3,
static,P\'st{-tIk\[CCV][CVC]\[st&][tIk],,,,,Xc,CCV CVC,CCV CVC,10,0,0,N,,,,2,
sticker,P\'stI-k@R\[CCV][CVC]\[stI][k@r*],,,,,Xc,CCV CR,CCV CR,10,0,0,N,,,,4,
stirring,P\'st3-rIN\[CCVV][CVC]\[st3:][rIN],,,,Xc,,CCV CVM,CCR CVC,10,+/IG/,CCR,V,,,,1,
stocking,P\'stQ-kIN\[CCV][CVC]\[stO][kIN],,,,,Xc,CCV CVM,CCV CVCC,10,0,0,N,,,,2,
stomach,P\'stV-m@k\[CCV][CVC]\[stV][m@k],,,,,Xc,CCV CVC,CCV CVC,10,0,0,N,,,,8,
stopper,P\'stQ-p@R\[CCV][CVC]\[stO][p@r*],,,,,Xc,CCV CR,CCV CR,10,0,0,N,,,,4,
stopping,P\'stQ-pIN\[CCV][CVC]\[stO][pIN],,,,Xc,,CCV CVM,CCV CVC,10,+/IG/,CCVC,V,,,,1,
stroller,P\'str5-l@R\[CCCVV][CVC]\[str@U][l@r*],,,,,Xc,CCCVV CR,CCCVV CR,10,0,0,N,,,,46,
stubborn,P\'stV-b@n\[CCV][CVC]\[stV][b@n],,,,,Xc,CCV CRC,CCV CRC,10,0,0,A,,,,1,
stutter,P\'stV-t@R\[CCV][CVC]\[stV][t@r*],,,,,Xc,CCV CR,CCV CR,10,0,0,V,,,,1,
sucker,P\'sV-k@R\[CV][CVC]\[sV][k@r*],,,,,Xc,CV CR,CV CR,10,0,0,N,,,,6,
sudden,"P\'sV-dH\[CV][CS]\[sV][dn,]",,,,,Xc,CV CR,CV CS,10,0,0,A,,,,7,
sugar,P\'SU-g@R\[CV][CVC]\[SU][g@r*],,,,,Xc,CV CR,CV CR,10,0,0,N,,,,18,
summer,P\'sV-m@R\[CV][CVC]\[sV][m@r*],,,,,Xc,CV CR,CV CR,10,0,0,N,,,,16,
supper,P\'sV-p@R\[CV][CVC]\[sV][p@r*],,,,,Xc,CV CR,CV CR,10,0,0,N,,,,10,
sweater,P\'swE-t@R\[CCV][CVC]\[swE][t@r*],,,,,Xc,CCV CR,CCV CR,10,0,0,N,,,,25,
swelling,P\'swE-lIN\[CCV][CVC]\[swE][lIN],,,,Xc,,CCV CVM,CCV CVC,10,+/IG/,CCVM,V,,,,3,
swimmer,P\'swI-m@R\[CCV][CVC]\[swI][m@r*],,,,,Xc,CCV CR,CCV CR,10,0,0,N,,,,1,
swimming,P\'swI-mIN\[CCV][CVC]\[swI][mIN],,,,Xc,,CCV CVM,CCV CVCC,10,+/IG/,CCVM,V,,,,22,
syrup,P\'sI-r@p\[CV][CVC]\[sI][r@p],,,,,Xc,CVV CVC,CVV CVC,10,0,0,N,,,,4,
talker,P\'t$-k@R\[CVV][CVC]\[tO:][k@r*],,,,,Xc,CVV CR,CVV CR,10,0,0,N,,,,2,
tearing,P\'t8-rIN\[CVV][CVC]\[tE@][rIN],,,,Xc,,CVV CVM,CVV CVC,10,+/IG/,CVVC,V,,,,1,
telling,P\'tE-lIN\[CV][CVC]\[tE][lIN],,,,,Xc,CV CVM,CV CVC,10,+/IG/,CVM,V,,,,48,
tennis,P\'tE-nIs\[CV][CVC]\[tE][nIs],,,,,Xc,CV CVC,CV CVC,10,0,0,N,,,,11,
thistle,"P\'TI-sP\[CV][CS]\[TI][sl,]",,,,,Xc,CV CR,CV CS,10,0,0,N,,,,1,
ticket,P\'tI-kIt\[CV][CVC]\[tI][kIt],,,,,Xc,CV CVC,CV CVC,10,0,0,N,,,,1,
tickle,"P\'tI-kP\[CV][CS]\[tI][kl,]",,,,,Xc,CV CR,CV CS,10,0,0,V,,,,372,
topic,P\'tQ-pIk\[CV][CVC]\[tO][pIk],,,,,Xc,CV CVC,CV CVC,10,0,0,N,,,,1,
touching,P\'tV-JIN\[CV][CVC]\[tV][tSIN],,,,,Xc,CV CVM,CV CVC,10,+/IG/,CVC,V,,,,9,
traffic,P\'tr{-fIk\[CCV][CVC]\[tr&][fIk],,,,,Xc,CCV CVC,CCV CVC,10,0,0,N,,,,5,
travels,"P\'tr{-vPz\[CCV][CSC]\[tr&][vl,z]",,,,Xc,,CCV CRC,CCV CSC,10,+/z/,CCV CR,V,,,,1,
triple,"P\'trI-pP\[CCV][CS]\[trI][pl,]",,,,,Xc,CCV CR,CCV CS,10,0,0,,Pronoun,,,2,
tripping,P\'trI-pIN\[CCV][CVC]\[trI][pIN],,,,Xc,,CCV CVM,CCV CVC,10,+/IG/,CCVC,V,,,,7,
trouble,"P\'trV-bP\[CCV][CS]\[trV][bl,]",,,,,Xc,CCV CR,CCV CS,10,0,0,N,,,,19,
tucker,P\'tV-k@R\[CV][CVC]\[tV][k@r*],t'Ak.R,,,,Xc,CV CR,CV CR,10,0,0,,Name,,,1,
tunnel,"P\'tV-nP\[CV][CS]\[tV][nl,]",,,,,Xc,CV CR,CV CS,10,0,0,N,,,,3,
twiddle,"P\'twI-dP\[CCV][CS]\[twI][dl,]",,,,,Xc,CCV CR,CCV CS,10,0,0,N,,,,4,
upper,P\'V-p@R\[V][CVC]\[V][p@r*],,,,,Xc,V CR,V CR,10,0,0,A,,,,1,
visit,P\'vI-zIt\[CV][CVC]\[vI][zIt],,,,,Xc,CV CVC,CV CVC,10,0,0,V,,,,22,
waffle,"P\'wQ-fP\[CV][CS]\[wO][fl,]",,,,,Xc,CV CR,CV CS,10,0,0,N,,,,3,
wagon,P\'w{-g@n\[CV][CVC]\[w&][g@n],,,,,Xc,CV CVC,CV CVC,10,0,0,N,,,,1,
walker,P\'w$-k@R\[CVV][CVC]\[wO:][k@r*],,,,,Xc,CVV CR,CVV CR,10,0,0,N,,,,29,
walking,P\'w$-kIN\[CVV][CVC]\[wO:][kIN],,,,,Xc,CVV CVM,CVV CVC,10,+/IG/,CVVC,V,,,,108,
wallet,P\'wQ-lIt\[CV][CVC]\[wO][lIt],,,,,Xc,CV CVC,CV CVC,10,0,0,N,,,,4,
warren,"P\'wQ-r@n\[CV][CVC]\[wO][r@n]\P\'wQ-rH\[CV][CS]\[wO][rn,]\S\'wQ-rIn\[CV][CVC]\[wO][rIn]",,,,,Xc,CV CVC,CV CVC,10,0,0,,Name,,,1,
washer,P\'wQ-S@R\[CV][CVC]\[wO][S@r*],,,,,Xc,CV CR,CV CR,10,0,0,N,,,,5,
washing,P\'wQ-SIN\[CV][CVC]\[wO][SIN],,,,Xc,,CV CVM,CV CVC,10,+/IG/,CVC,V,,,,45,
watches,P\'wQ-JIz\[CV][CVC]\[wO][tSIz],,,,Xc,,CV CVC,CV CVC,10,+/z/,CVC,N,,,,1,
water,P\'w$-t@R\[CVV][CVC]\[wO:][t@r*],,,,,Xc,CVV CR,CVV CR,10,0,0,N,,,,750,
wearing,P\'w8-rIN\[CVV][CVC]\[wE@][rIN],,,,Xc,,CVV CVM,CVV CVC,10,+/IG/,CVVC,V,,,,31,
weather,P\'wE-D@R\[CV][CVC]\[wE][D@r*],,,,,Xc,CV CR,CV CR,10,0,0,N,,,,13,
whipping,P\'wI-pIN\[CV][CVC]\[wI][pIN]\S\'hwI-pIN\[CCV][CVC]\[hwI][pIN],,,,Xc,,CV CVM,CV CVC,10,+/IG/,CVC,V,,,,5,
whistle,"P\'wI-sP\[CV][CS]\[wI][sl,]\S\'hwI-sP\[CCV][CS]\[hwI][sl,]",,,,,Xc,CV CR,CV CS,10,0,0,N,,,,3,
wiggle,"P\'wI-gP\[CV][CS]\[wI][gl,]",,,,,Xc,CV CR,CV CS,10,0,0,V,,,,2,
willing,P\'wI-lIN\[CV][CVC]\[wI][lIN],,,,,Xc,CV CVM,CV CVC,10,+/IG/,CVM,A,,,,2,
woman,P\'wU-m@n\[CV][CVC]\[wU][m@n],,,,,Xc,CV CVC,CV CVC,10,0,0,N,,,,11,
wooden,"P\'wU-dH\[CV][CS]\[wU][dn,]",,,,,Xc,CV CR,CVV CS,10,+/N/,CVC,A,,,,2,
wouldn't,"P\'wU-dHt\[CV][CSC]\[wU][dn,t]",,,,,Xc,CV CRC,CVV CSC,10,0,0,V,,,,54,
wrapper,P\'r{-p@R\[CV][CVC]\[r&][p@r*],,,,,Xc,CCV CR,CCV CR,10,0,0,N,,,,1,
wrapping,P\'r{-pIN\[CV][CVC]\[r&][pIN],,,,Xc,,CCV CVM,CCR CVC,10,+/IG/,CCVC,V,,,,1,
wrecker,P\'rE-k@R\[CV][CVC]\[rE][k@r*],,,,,Xc,CCV CR,CCV CR,10,0,0,N,,,,2,
zipper,P\'zI-p@R\[CV][CVC]\[zI][p@r*],,,,,Xc,CV CR,CV CR,10,0,0,N,,,,81,
amen,"P\""#-'mEn\[VV][CVC]\[A:][mEn]\S\""1-'mEn\[VV][CVC]\[eI][mEn]",,,,,XC,VV CVC,VV CVC,11,0,0,,Exclamation,,,24,
cannot,P\'k{-nQt\[CV][CVC]\[k&][nOt]\S\'k{-n@t\[CV][CVC]\[k&][n@t],,,,,XC,CV CVC,CVC CVC,11,0,0,,Contraction,,,41,
doggone,P\'dQ-gQn\[CV][CVC]\[dO][gOn],,,,XC,,CV CVC,CVVC CVC,11,0,0,V,,,,1,
minute,P\'mI-nIt\[CV][CVC]\[mI][nIt],,,,,XC,CV CVC,CV CVC,11,0,0,N,,,,294,
process,P\'pr5-sEs\[CCVV][CVC]\[pr@U][sEs],,,,,XC,CCVV CVC,CCVV CVC,11,0,0,N,,,,2,
achoo,P\@-'Ju\[V][CVV]\[@][tSu:],,,01,xL,,V CVV,V CVV,01,0,0,,Exclamation,,,15,
ago,P\@-'g5\[V][CVV]\[@][g@U],,,,,xL,V CVV,V CVV,01,0,0,,Adverb,,,16,
agree,P\@-'gri\[V][CCVV]\[@][gri:],,,,,xL,V CCVV,V CCVV,01,0,0,V,,,,9,
ahoy,P\@-'h4\[V][CVV]\[@][hOI],,,01,,,V CVV,V CVV,01,0,0,,Exclamation,,,1,
apply,P\@-'pl2\[V][CCVV]\[@][plaI],,,,,xL,V CCCVV,V CCVV,01,0,0,V,,,,1,
array,P\@-'r1\[V][CVV]\[@][reI],,,,,xL,V CVV,V CVV,01,0,0,N,,,,1,
away,P\@-'w1\[V][CVV]\[@][weI],,,,,xL,V CVV,V CVV,01,0,0,,Adverb,,,492,
below,P\bI-'l5\[CV][CVV]\[bI][l@U]\S\b@-'l5\[CV][CVV]\[b@][l@U],,,,,xL,CV CVV,CV CVV,01,0,0,,Adverb/Preposition,,,14,
